"Number of Registered Live Births by Sex and by Usual Residence of Mother (Region, Province and Highly Urbanized City), Philippines: January - December 2013-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
..PAMPANGA,39725,20548,19177,40578,21127,19451,41145,21393,19752,39958,21145,18813,39885,20822,19063,40579,21090,19489,41312,21415,19897,38745,20089,18656,33879,17619,16260,35439,18312,17127
..TARLAC,24875,13061,11814,24660,13215,11445,24629,13117,11512,23301,12325,10976,22900,11969,10931,21999,11448,10551,22462,11694,10768,21215,11152,10063,18956,9905,9051,20433,10668,9765
..ZAMBALES,11998,6204,5794,11791,6187,5604,11991,6317,5674,11504,6044,5460,11230,5868,5362,10348,5527,4821,10125,5304,4821,9571,4997,4574,8320,4315,4005,9295,4802,4493
..CITY OF ANGELES,8032,4078,3954,7839,4114,3725,7710,4020,3690,7642,4005,3637,7763,4041,3722,7814,3992,3822,8026,4146,3880,7118,3750,3368,5999,3109,2890,6428,3343,3085
..CITY OF OLONGAPO,4616,2380,2236,4565,2349,2216,4554,2358,2196,4397,2264,2133,4191,2160,2031,3917,2123,1794,3874,2033,1841,3558,1878,1680,2794,1445,1349,2921,1541,1380
REGION IV-A (CALABARZON),260463,135228,125235,257461,133759,123702,260339,135270,125069,251344,130470,120874,248401,129472,118929,248297,129294,119003,248125,129135,118990,232606,121372,111234,204333,106761,97572,216792,113276,103516
..BATANGAS,47321,24601,22720,46620,24337,22283,46259,24361,21898,44998,23361,21637,43829,22911,20918,44040,22963,21077,43951,22680,21271,40978,21268,19710,36713,19031,17682,37410,19437,17973
..CAVITE,62211,32291,29920,61784,32112,29672,63185,32761,30424,61914,32223,29691,63076,32881,30195,64121,33225,30896,64642,33553,31089,61682,31931,29751,53298,27803,25495,56534,29084,27450
..LAGUNA,57670,29765,27905,56250,29278,26972,56319,29124,27195,53160,27585,25575,52332,27189,25143,52405,27517,24888,52050,27341,24709,49206,26125,23081,41876,22179,19697,44444,23892,20552
..QUEZON,33148,17293,15855,32143,16635,15508,32405,16679,15726,31837,16518,15319,30863,15907,14956,30241,15700,14541,29036,15102,13934,26726,13927,12799,24749,12905,11844,28477,14803,13674
..RIZAL,55175,28715,26460,55983,28976,27007,57331,29893,27438,54454,28195,26259,53258,27872,25386,52446,27298,25148,53401,27815,25586,49574,25825,23749,43648,22699,20949,45622,23764,21858
..CITY OF LUCENA,4938,2563,2375,4681,2421,2260,4840,2452,2388,4981,2588,2393,5043,2712,2331,5044,2591,2453,5045,2644,2401,4440,2296,2144,4049,2144,1905,4305,2296,2009
MIMAROPA REGION,48530,25081,23449,48170,25113,23057,50122,26092,24030,48888,25505,23383,47655,24879,22776,47150,24496,22654,46462,24121,22341,42759,22158,20601,38371,19917,18454,41158,21338,19820
..MARINDUQUE,4682,2386,2296,4286,2245,2041,4165,2225,1940,3872,2019,1853,3922,2057,1865,3603,1872,1731,3625,1892,1733,3013,1601,1412,2749,1408,1341,2942,1566,1376
..OCCIDENTAL MINDORO,8547,4419,4128,8705,4520,4185,8906,4649,4257,8513,4493,4020,8224,4366,3858,8457,4357,4100,8308,4404,3904,7817,3965,3852,6668,3476,3192,7607,3899,3708
..ORIENTAL MINDORO,14093,7345,6748,13840,7198,6642,14008,7282,6726,13764,7171,6593,13951,7237,6714,13777,7102,6675,13831,7191,6640,11824,6152,5672,10848,5679,5169,12654,6472,6182
..PALAWAN,12177,6294,5883,12329,6428,5901,13440,6997,6443,13350,6979,6371,13041,6787,6254,12681,6628,6053,12371,6422,5949,12076,6228,5848,10996,5667,5329,11058,5800,5258
..ROMBLON,5130,2620,2510,4872,2558,2314,4876,2508,2368,4798,2495,2303,4192,2170,2022,4556,2366,2190,4597,2378,2219,4035,2124,1911,3481,1800,1681,3895,2042,1853
..CITY OF PUERTO PRINCESA,3901,2017,1884,4138,2164,1974,4727,2431,2296,4591,2348,2243,4325,2262,2063,4076,2171,1905,3730,1834,1896,3994,2088,1906,3629,1887,1742,3002,1559,1443
REGION V (BICOL REGION),119727,62471,57256,115772,60631,55141,115210,60250,54960,116092,60145,55947,112512,58563,53949,109223,57115,52108,107802,56160,51642,96627,50240,46387,87464,45604,41860,96962,50605,46357
..ALBAY,27285,14139,13146,26392,13852,12540,25744,13438,12306,25626,13296,12330,24836,13002,11834,24115,12596,11519,24079,12511,11568,21542,11169,10373,19465,10022,9443,20863,10964,9899
..CAMARINES NORTE,12823,6600,6223,12641,6648,5993,13017,6968,6049,13004,6846,6158,12533,6548,5985,12205,6419,5786,12266,6429,5837,11101,5767,5334,10230,5370,4860,11225,5872,5353
..CAMARINES SUR,43620,22917,20703,41681,21753,19928,41023,21362,19661,40203,20750,19453,39368,20466,18902,37729,19748,17981,37063,19345,17718,33320,17357,15963,29995,15734,14261,32899,17056,15843
..CATANDUANES,5684,2981,2703,5502,2829,2673,5271,2748,2523,5776,2947,2829,5567,2882,2685,5180,2707,2473,4980,2590,2390,4305,2223,2082,3962,2025,1937,4247,2194,2053
..MASBATE,14934,7675,7259,14669,7706,6963,15012,7809,7203,15821,8172,7649,15169,7885,7284,15691,8179,7512,15162,7864,7298,13435,6956,6479,11710,6082,5628,14480,7535,6945
..SORSOGON,15381,8159,7222,14887,7843,7044,15143,7925,7218,15662,8134,7528,15039,7780,7259,14303,7466,6837,14252,7421,6831,12924,6768,6156,12102,6371,5731,13248,6984,6264
REGION VI (WESTERN VISAYAS),123987,64526,59461,119231,62174,57057,118788,61622,57166,114774,60179,54595,110367,57593,52774,104976,54525,50451,105225,54790,50435,92452,48399,44053,83363,43662,39701,89901,46938,42963
..AKLAN,10505,5513,4992,10235,5430,4805,10388,5401,4987,9644,5136,4508,9419,4873,4546,9266,4871,4395,9272,4836,4436,8342,4375,3967,7043,3716,3327,7148,3713,3435
..ANTIQUE,9322,4757,4565,9057,4719,4338,9131,4772,4359,8137,4338,3799,7276,3750,3526,7282,3796,3486,7110,3731,3379,6405,3373,3032,5882,3103,2779,6504,3361,3143
..CAPIZ,12232,6330,5902,11947,6137,5810,11968,6166,5802,11738,6063,5675,11057,5768,5289,10627,5536,5091,10650,5518,5132,9438,4944,4494,8870,4641,4229,9394,4908,4486
..GUIMARAS,2913,1462,1451,2835,1499,1336,2686,1382,1304,2587,1362,1225,2745,1443,1302,2751,1409,1342,2740,1452,1288,2535,1317,1218,2355,1213,1142,2339,1246,1093
..ILOILO,32293,16810,15483,30825,16106,14719,30121,15628,14493,29056,15325,13731,28465,14987,13478,26107,13510,12597,27278,14107,13171,24395,12798,11597,22138,11821,10317,23333,12315,11018
..NEGROS OCCIDENTAL,41393,21663,19730,39697,20615,19082,39889,20662,19227,39129,20362,18767,37331,19312,18019,35991,18564,17427,35703,18589,17114,30440,15863,14577,27793,14200,13593,31109,16130,14979
..CITY OF BACOLOD,7810,4110,3700,7302,3846,3456,7834,4075,3759,7603,3977,3626,7079,3737,3342,6514,3444,3070,6347,3318,3029,5433,2886,2547,4666,2470,2196,5096,2626,2470
..CITY OF ILOILO,7519,3881,3638,7333,3822,3511,6771,3536,3235,6880,3616,3264,6995,3723,3272,6438,3395,3043,6125,3239,2886,5464,2843,2621,4616,2498,2118,4978,2639,2339
REGION VII (CENTRAL VISAYAS),150534,78449,72085,152542,79394,73148,148319,77312,71007,145550,76288,69262,144603,75490,69113,138656,72786,65870,140916,73520,67396,128149,66834,61315,111920,58416,53504,119291,62135,57156
..BOHOL,24115,12657,11458,24018,12489,11529,22868,11928,10940,22420,11707,10713,22170,11560,10610,20885,10882,10003,21191,11122,10069,19209,9926,9283,16422,8492,7930,17556,9130,8426
..CEBU,62782,32840,29942,62971,32959,30012,61918,32146,29772,60725,31854,28871,59914,31144,28770,56540,29675,26865,57324,29971,27353,52977,27717,25260,46543,24254,22289,50324,26152,24172
..NEGROS ORIENTAL,22878,11786,11092,23142,12079,11063,23349,12177,11172,23861,12395,11466,23376,12297,11079,22580,11955,10625,23227,11920,11307,21271,11057,10214,19762,10391,9371,20916,11018,9898
..SIQUIJOR,1514,751,763,1457,722,735,1345,679,666,1393,728,665,1392,700,692,1274,665,609,1363,689,674,1307,684,623,1056,523,533,1119,572,547
..CITY OF CEBU,20986,10903,10083,22104,11417,10687,20953,10995,9958,19941,10499,9442,20257,10508,9749,20019,10532,9487,19876,10422,9454,17379,9146,8233,14724,7705,7019,15461,8159,7302
..CITY OF LAPU-LAPU,9899,5168,4731,10179,5239,4940,9812,5163,4649,9508,4954,4554,9811,5198,4613,10019,5239,4780,10360,5411,4949,9326,4826,4500,7889,4156,3733,8163,4183,3980
..CITY OF MANDAUE,8360,4344,4016,8671,4489,4182,8074,4224,3850,7702,4151,3551,7683,4083,3600,7339,3838,3501,7575,3985,3590,6680,3478,3202,5524,2895,2629,5752,2921,2831
REGION VIII (EASTERN VISAYAS),69292,35925,33367,72423,37857,34566,76771,40470,36301,74725,39172,35553,69385,36262,33123,66187,34612,31575,67282,34859,32423,59251,30995,28256,56105,29135,26970,62753,32542,30211
..BILIRAN,2961,1515,1446,2991,1566,1425,3434,1749,1685,3439,1808,1631,3083,1712,1371,2806,1481,1325,2974,1573,1401,2651,1406,1245,2344,1219,1125,2925,1485,1440
